"id","date","score"
13564,16932,100
13623,17023,87
13671,17063,94
13753,17035,91
13814,17074,82
13831,17021,77
13837,17107,98
13838,16923,100
13965,17151,96
14005,16934,92
14071,17015,96
14075,16993,94
14303,16855,98
14568,17134,82
14575,16955,96
14577,16930,89
14688,17044,96
14740,17108,100
14743,17108,100
14909,17100,98
14910,17100,98
14971,17063,96
15055,17156,93
15120,16988,88
15184,17010,89
15279,17086,92
15535,17149,93
15738,17080,100
15752,16905,98
15806,17015,96
16047,16847,98
16162,16984,100
16286,17123,88
16349,17092,88
16419,17101,100
16432,17137,100
16441,17141,82
17411,17056,73
17508,16898,100
17570,17042,83
17723,16975,88
17750,17098,81
17762,17085,82
17763,17037,100
17779,17108,90
17822,17077,100
17933,16857,84
17946,16989,100
17947,16931,84
18047,16862,83
18079,16923,92
18120,17149,96
18126,16927,96
18268,16967,94
18310,17038,90
18369,17113,63
18399,17077,96
18400,16932,100
18403,16925,92
18422,17043,98
18443,16938,82
18480,17064,83
18514,17092,79
18538,16903,98
18573,17063,83
18577,17148,96
18580,16940,100
18581,17148,96
18606,16976,92
18686,16975,70
18728,17025,76
18755,16994,82
18767,17067,88
18800,17057,81
18805,16959,94
18815,17099,90
18824,16960,86
18825,17140,94
18826,17070,83
18855,17134,94
18870,16968,65
18874,16930,92
18940,17074,94
18952,16962,100
18953,16962,100
18954,16962,100
18981,16967,96
18996,17015,98
19002,17073,90
19003,17015,70
19025,17007,89
19041,17115,85
19043,17144,87
19055,17135,92
19056,17135,96
19057,17135,96
19058,17135,96
19060,16959,96
19061,16959,92
19076,16855,76
19082,16959,96
19087,16977,100
19094,17078,94
19131,16968,86
19138,16954,84
19150,17109,94
19169,16976,92
19170,17042,98
19171,17056,94
19205,17064,94
19277,17074,90
19357,16961,75
19379,17114,89
19380,16939,94
19386,16959,86
19403,17035,98
19416,17157,94
19440,17147,71
19641,16968,80
20116,17142,87
20291,16871,82
20327,16953,90
20367,17145,81
20625,16981,100
21101,16885,94
21143,17037,98
21429,16952,92
21583,17031,100
21785,17038,82
21807,17134,93
21909,17149,96
21982,16958,90
22606,16905,79
23068,17043,90
23701,17043,71
23702,16910,89
23704,17081,90
23865,17029,83
24198,16927,80
24279,17028,94
24437,17018,87
24457,16933,82
